epoch,lr,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.001,1.6555817502786043,0.2092868251499667,0.20902898907661438,1.7054336388244946,0.12266112266112267,0.11030896008014679
2,0.0009997532801828658,1.5846515388071365,0.2772717173961342,0.27423468232154846,1.4942146908964289,0.35135135135135137,0.21989789605140686
3,0.0009990133642141358,1.4786142924710715,0.36303043768051546,0.34995290637016296,1.3050145522968188,0.579002079002079,0.3073022961616516
4,0.00099778098230154,1.394106263241432,0.4439013552543879,0.42499953508377075,1.2694035696636365,0.5706860706860707,0.36080437898635864
5,0.000996057350657239,1.3406340185998944,0.4723394801155299,0.4522648751735687,1.208496024355819,0.5841995841995842,0.4079330861568451
6,0.0009938441702975688,1.280141256221584,0.5041101977338369,0.4937637448310852,1.0371153924668406,0.6652806652806653,0.4488731324672699
7,0.0009911436253643444,1.2001808145739614,0.5629860031104199,0.5450835227966309,1.0223502978961334,0.681912681912682,0.5072015523910522
8,0.0009879583809693736,1.1610037323846416,0.5965341035325483,0.5776644945144653,1.0577603129983693,0.6798336798336798,0.5470272302627563
9,0.0009842915805643154,1.0859438362611027,0.6480782048433681,0.6379371881484985,0.9654529411926587,0.7099792099792099,0.5796201825141907
10,0.0009801468428384714,1.055915048402618,0.6709620084425684,0.6705421209335327,0.9733805413553472,0.7068607068607069,0.5987480878829956
11,0.0009755282581475767,0.9622279476044152,0.7231726283048211,0.7230296730995178,0.8584771661897211,0.7557172557172557,0.6448696851730347
12,0.0009704403844771127,0.9199837602871944,0.7507220617640524,0.7485021948814392,0.9343983557021048,0.7307692307692307,0.6543735265731812
13,0.0009648882429441257,0.884762931402406,0.7664963341479671,0.7671070694923401,0.8674333363213806,0.7567567567567568,0.656025767326355
14,0.0009588773128419905,0.8720048707581922,0.7729393468118196,0.772553563117981,0.8096998372345605,0.7910602910602911,0.7004541754722595
15,0.0009524135262330098,0.8822257346218094,0.7682737169517885,0.7664468288421631,0.834342426420993,0.7765072765072765,0.7027127146720886
16,0.0009455032620941839,0.8133748094655757,0.805154410131082,0.8043920397758484,0.8436295625573632,0.7817047817047817,0.6996279954910278
17,0.0009381533400219318,0.7863903538011705,0.8144856698511442,0.8128949999809265,0.8059776379511907,0.7993762993762994,0.7245638370513916
18,0.0009303710135019719,0.7567707873455447,0.8295934236836259,0.8284333348274231,0.7961513361663184,0.7920997920997921,0.720343828201294
19,0.0009221639627510076,0.7803406112725352,0.8171517440568763,0.8140014410018921,0.7846697904711701,0.8087318087318087,0.7235400080680847
20,0.000913540287137281,0.7612164827141066,0.8278160408798045,0.82746821641922,0.7961855695550011,0.7900207900207901,0.712286651134491
21,0.0009045084971874739,0.7643752310493739,0.8209286825149966,0.819638729095459,0.7646279768735604,0.8232848232848233,0.7434198260307312
22,0.0008950775061878452,0.739578974906457,0.833592534992224,0.8328083157539368,0.7761157490855195,0.8004158004158004,0.732695460319519
23,0.0008852566213878947,0.7195512639551898,0.8411464119084647,0.839928150177002,0.7701967439135989,0.8139293139293139,0.7452515363693237
24,0.0008750555348152298,0.702185705592171,0.8553654743390358,0.8528519868850708,0.7723789619061159,0.8024948024948025,0.7228557467460632
25,0.0008644843137107057,0.7075712570109067,0.852477227282826,0.849310576915741,0.8298926536853497,0.7879417879417879,0.7141590118408203
26,0.0008535533905932737,0.7074538507453073,0.849811153077094,0.8485729098320007,0.727384506045161,0.8305613305613305,0.7504276037216187
27,0.0008422735529643444,0.6969703743919164,0.8624750055543212,0.8615554571151733,0.7222708013845829,0.8388773388773388,0.7653385996818542
28,0.0008306559326618259,0.7230423552755302,0.8435903132637191,0.8401777148246765,0.7459813279570264,0.8212058212058212,0.7486755847930908
29,0.0008187119948743449,0.6928522384476593,0.8549211286380805,0.8540393114089966,0.8035759378123928,0.8108108108108109,0.7224832773208618
30,0.0008064535268264883,0.6873628609950106,0.8611419684514552,0.8608280420303345,0.9050502474739249,0.7276507276507277,0.6732457876205444
31,0.0007938926261462367,0.692272536623772,0.8584758942457231,0.8584437370300293,0.7120487982418829,0.8326403326403327,0.7443863749504089
32,0.0007810416889260654,0.673492664523825,0.8649189069095756,0.8645808100700378,0.7781905712803783,0.8076923076923077,0.7433319091796875
33,0.0007679133974894983,0.6662212768890307,0.8760275494334593,0.8758739233016968,0.7789252213281802,0.8056133056133056,0.7558543086051941
34,0.0007545207078751857,0.6587341004439233,0.8738058209286825,0.8730694651603699,0.6936984140263278,0.8534303534303534,0.7920455932617188
35,0.0007408768370508577,0.6884517848451941,0.8638080426571872,0.8626249432563782,0.7268520909634548,0.8347193347193347,0.7722169160842896
36,0.0007269952498697734,0.6456524871953512,0.8773605865363253,0.8760433197021484,0.6711317642810687,0.8607068607068608,0.786982536315918
37,0.0007128896457825364,0.6526315162192978,0.8813596978449233,0.8804036974906921,0.6733495733098528,0.8534303534303534,0.7875361442565918
38,0.0006985739453173903,0.646726578877942,0.8804710064430127,0.8798221349716187,0.7294573225003518,0.8305613305613305,0.7746872901916504
39,0.0006840622763423391,0.6544399398137558,0.8742501666296378,0.873701274394989,0.7110916871786613,0.8367983367983368,0.7779968976974487
40,0.0006693689601226458,0.6336010846395648,0.8873583648078205,0.8868009448051453,0.8059448524225279,0.8118503118503119,0.7414663434028625
41,0.0006545084971874737,0.6445688703435708,0.8826927349477893,0.8824194073677063,0.7046327621921928,0.8513513513513513,0.8002843856811523
42,0.0006394955530196147,0.6062903869578479,0.9020217729393468,0.9008814096450806,0.7111729601564626,0.8461538461538461,0.7753041982650757
43,0.0006243449435824273,0.6212670261185584,0.893801377471673,0.8928166627883911,0.7631205223702096,0.8316008316008316,0.7779016494750977
44,0.0006090716206982714,0.6327548555680524,0.8882470562097312,0.887346625328064,0.7215409298696538,0.8336798336798337,0.7743407487869263
45,0.0005936906572928625,0.6153344787562908,0.8949122417240614,0.8934857249259949,0.7182566828390665,0.8305613305613305,0.7645077705383301
46,0.0005782172325201156,0.6107554231265259,0.9017996000888692,0.9002801179885864,0.6951080978288472,0.8555093555093555,0.7934684157371521
47,0.0005626666167821523,0.6050702510370569,0.9062430570984226,0.9044041633605957,0.7571277007491574,0.8212058212058212,0.771309494972229
48,0.0005470541566592572,0.6065266047072818,0.9002443901355255,0.8993667364120483,0.718099434757431,0.843035343035343,0.7897986173629761
49,0.0005313952597646569,0.5917632774998416,0.908686958453677,0.9080297350883484,0.6691914330896865,0.8638253638253638,0.8011719584465027
50,0.0005157053795390643,0.5888992188983799,0.9091313041546323,0.9086934924125671,0.6868174384636592,0.8565488565488566,0.8027664422988892
51,0.0005000000000000002,0.5923061864796121,0.9066874027993779,0.9069482684135437,0.6802563725538908,0.8534303534303534,0.798258364200592
52,0.00048429462046093607,0.5732903527408355,0.9191290824261276,0.9174978137016296,0.6901251890555241,0.8659043659043659,0.8179702758789062
53,0.0004686047402353435,0.579058166186933,0.9135747611641858,0.9124983549118042,0.667755622873683,0.8659043659043659,0.8136027455329895
54,0.000452945843340743,0.5968700247164753,0.908686958453677,0.9083326458930969,0.6640681905706806,0.8690228690228691,0.8141933679580688
55,0.00043733338321784806,0.5886844589402479,0.908686958453677,0.9078472256660461,0.699172918984895,0.8596673596673596,0.8130612373352051
56,0.0004217827674798847,0.5718799532452998,0.9200177738280382,0.9194448590278625,0.6503723704889262,0.8752598752598753,0.8328391313552856
57,0.00040630934270713783,0.579327622325493,0.911353032659409,0.9103376269340515,0.6458137252226689,0.8856548856548857,0.8297491073608398
58,0.000390928379301729,0.5624882447748708,0.9200177738280382,0.9189558029174805,0.7531422095338421,0.8388773388773388,0.7878357768058777
59,0.0003756550564175727,0.5700752427778729,0.9189069095756499,0.9193550944328308,0.6689894009776521,0.8783783783783784,0.8272876739501953
60,0.00036050444698038553,0.5576905169054763,0.9229060208842479,0.9220468401908875,0.6258690130437982,0.8898128898128899,0.8405668139457703
61,0.00034549150281252655,0.5524862008316203,0.9304598978004888,0.9304950833320618,0.6781765694058115,0.867983367983368,0.817528247833252
62,0.0003306310398773544,0.5597492909860515,0.9213508109309042,0.9206341505050659,0.6540745354863562,0.8794178794178794,0.8280126452445984
63,0.00031593772365766127,0.5466489849077864,0.9311264163519218,0.9310840368270874,0.6520258033349955,0.8804573804573804,0.8313273191452026
64,0.0003014260546826097,0.5647786761675642,0.9217951566318596,0.9212239384651184,0.6775266886253118,0.8669438669438669,0.8200359344482422
65,0.0002871103542174637,0.5431407652704272,0.9337924905576539,0.932075023651123,0.7079620676699894,0.8575883575883576,0.8010104298591614
66,0.0002730047501302267,0.5493876204785175,0.9306820706509664,0.9302983283996582,0.6413325306779382,0.8856548856548857,0.8277027010917664
67,0.00025912316294914234,0.5565485812324705,0.9264607864918907,0.9257515668869019,0.6879814388598325,0.8627858627858628,0.8163082003593445
68,0.0002454792921248144,0.547172565694333,0.9297933792490558,0.9288581609725952,0.6772682164290343,0.8617463617463618,0.8087531924247742
69,0.00023208660251050164,0.5453521272151424,0.9331259720062208,0.9332617521286011,0.6313547176655514,0.893970893970894,0.8422151803970337
70,0.00021895831107393473,0.5514838488677745,0.9266829593423683,0.9269394874572754,0.6670623922298455,0.867983367983368,0.8185094594955444
71,0.00020610737385376356,0.523185343748727,0.9402355032215063,0.9401530027389526,0.65784162400666,0.8856548856548857,0.8368935585021973
72,0.00019354647317351177,0.5337958430560582,0.939124638969118,0.9387677907943726,0.6211787593587769,0.893970893970894,0.8432938456535339
73,0.0001812880051256552,0.5337670223629758,0.9349033548100422,0.9352758526802063,0.6946134132307928,0.8586278586278586,0.8015376925468445
74,0.00016934406733817422,0.5360258415364552,0.9382359475672073,0.9380515217781067,0.6467938846956915,0.8918918918918919,0.8406956791877747
75,0.0001577264470356557,0.5193963656820634,0.9433459231281938,0.9428577423095703,0.6299947428975928,0.8866943866943867,0.8343868255615234
76,0.00014644660940672634,0.5286175250821684,0.938458120417685,0.9373296499252319,0.6564785681990228,0.8856548856548857,0.8361943364143372
77,0.0001355156862892944,0.5361297004515795,0.9349033548100422,0.9350131154060364,0.6269471804590087,0.893970893970894,0.8490704298019409
78,0.00012494446518477025,0.5174561358112623,0.942457231726283,0.9417964816093445,0.6165832766871938,0.895010395010395,0.8443390727043152
79,0.00011474337861210548,0.5241357811925889,0.9417907131748501,0.9416945576667786,0.631403236899703,0.8918918918918919,0.8406625986099243
80,0.00010492249381215483,0.5119089581944682,0.9475672072872695,0.9474223256111145,0.6224116214595564,0.8970893970893971,0.852514922618866
81,9.549150281252637e-05,0.5267754782837938,0.9402355032215063,0.9403368830680847,0.6018914553083154,0.9002079002079002,0.8520156741142273
82,8.645971286271918e-05,0.5225346866673137,0.9413463674738947,0.9407169222831726,0.6249695908502828,0.893970893970894,0.8463102579116821
83,7.78360372489926e-05,0.5170711200784456,0.9455676516329704,0.9458425641059875,0.6374976096554754,0.8887733887733887,0.8393582105636597
84,6.962898649802815e-05,0.5117339801587043,0.9495667629415685,0.9485044479370117,0.6265954196824849,0.8918918918918919,0.839565098285675
85,6.184665997806824e-05,0.5052799871698324,0.9457898244834482,0.9452720880508423,0.6277681549472769,0.8908523908523909,0.8423763513565063
86,5.449673790581613e-05,0.5242212840356554,0.9380137747167296,0.937562108039856,0.6095342420490765,0.9054054054054054,0.8597992062568665
87,4.758647376699034e-05,0.5088379489159854,0.9473450344367919,0.9473260641098022,0.6223958748046177,0.8929313929313929,0.844694972038269
88,4.112268715800956e-05,0.5113695844018017,0.9453454787824928,0.9450660943984985,0.6185733556995273,0.895010395010395,0.8508020639419556
89,3.511175705587434e-05,0.5099327644091981,0.9453454787824928,0.9451988339424133,0.6234436216076793,0.8970893970893971,0.8539937734603882
90,2.9559615522887284e-05,0.5140766076473786,0.9477893801377472,0.9473069906234741,0.6208684376272491,0.8918918918918919,0.8448209762573242
91,2.447174185242324e-05,0.5151570569512791,0.9455676516329704,0.9449349641799927,0.625671035720504,0.8898128898128899,0.8367549180984497
92,1.9853157161528526e-05,0.5038233097064126,0.9511219728949123,0.9512971639633179,0.630272556739141,0.8887733887733887,0.8391231298446655
93,1.570841943568452e-05,0.5123988824721257,0.9464563430348811,0.9463623762130737,0.630019852128693,0.8918918918918919,0.843797504901886
94,1.204161903062634e-05,0.5063632860749967,0.9497889357920463,0.9500476121902466,0.6251427617985097,0.8929313929313929,0.8437226414680481
95,8.85637463565564e-06,0.5012870498880548,0.9520106642968229,0.9517887234687805,0.6160993595876714,0.8991683991683992,0.8538416624069214
96,6.155829702431171e-06,0.5028014196419393,0.9504554543434792,0.9499022364616394,0.6203986081660662,0.893970893970894,0.8459269404411316
97,3.942649342761118e-06,0.48714777004901527,0.9611197511664075,0.9611368179321289,0.6173374971332273,0.9002079002079002,0.8568116426467896
98,2.2190176984600023e-06,0.5008910552471697,0.9511219728949123,0.9510892629623413,0.6251698168548377,0.8929313929313929,0.8437566757202148
99,9.866357858642206e-07,0.49326515200402415,0.9566762941568541,0.9566202163696289,0.6268339717214667,0.8918918918918919,0.8423252105712891
100,2.467198171342e-07,0.5040152269028421,0.9515663185958676,0.9511039853096008,0.6130269661762611,0.8981288981288982,0.8522017598152161
