snr_db,test_loss,test_accuracy,test_accuracy_std,test_macro_f1,test_macro_f1_std
-20,1.4750030273506325,0.46855670103092784,0.010893253979001703,0.34587040841579436,0.015835124567241354
-15,1.1231866015601406,0.6472164948453608,0.014088676540912597,0.5234541296958923,0.01900541710360001
-10,0.8271808884070092,0.8204123711340205,0.005864520681784697,0.7381218016147614,0.007505886669071971
-5,0.6596227751810526,0.8856701030927837,0.0038421948770276933,0.8330742180347442,0.00528650467126047
0,0.6255724630036303,0.8923711340206187,0.003547350625584612,0.8414802551269531,0.005149929002905394
5,0.6211597149642473,0.8924742268041239,0.0019587628865979628,0.841469669342041,0.002377801880030989
10,0.6204841123659586,0.8928865979381445,0.001490395081938238,0.8419652581214905,0.0018893885614909686
15,0.6199270764085435,0.8947422680412374,0.0008563529755585613,0.8444197535514831,0.001216985633258651
20,0.6204088229739788,0.8941237113402064,0.0008051803789594461,0.8435114860534668,0.0012444397580512764
